rule_id,max_boards,min_points,max_points,activate_bonus_at,min_objects,max_objects,min_shapes,max_shapes,min_colors,max_colors,f,m,n,b,clear_how_many,bonus_extra_pts,clearing_threshold,feedback_switches,stack_memory_depth,stack_memory_show_order,grid_memory_show_order
rules-06,3,2,10,2,1,3,1,1,1,1,4,9,1,1.5,2,3,1.3,fixed,6,TRUE,TRUE
rules-07,4,2,10,2,4,8,1,4,1,4,4,9,1,1.5,2,3,1.3,fixed,6,TRUE,TRUE
